player_name,kills,time,score
"2024/06/15
04:20:21",10,150,195
"2024/06/15
04:20:28",10,150,282
"2024/06/15
04:20:47",10,150,282
"2024/06/15
04:26:10",5,8,40
"2024/06/15
04:54:25",25,43,1075
"2024/06/15
04:56:33",15,13,195
"2024/06/15
04:58:08",52,44,2288
"2024/06/15
04:58:46",28,20,560
"2024/06/15
05:01:04",0,1,0
"2024/06/15
14:16:32",160,81,12960
"2024/06/15
14:20:29",259,138,35742
"2024/06/15
14:25:09",74,76,5624
"2024/06/15
14:56:14",2,10,20
"2024/06/15
15:46:30",1,5,5
"2024/06/15
15:50:18",2,9,18
"2024/06/15
15:52:14",11,42,462
"2024/06/15
15:54:27",0,4,0
"2024/06/15
15:54:38",0,2,0
"2024/06/15
15:55:26",4,8,32
"2024/06/15
15:56:00",0,2,0
"2024/06/15
15:56:28",1,6,6
"2024/06/15
16:01:51",10,29,290
"2024/06/15
16:02:30",0,2,0
"2024/06/15
16:03:13",1,9,9
"2024/06/15
16:05:43",1,4,4
"2024/06/15
16:11:51",1,7,7
"2024/06/15
16:12:33",0,4,0
"2024/06/15
16:13:57",1,6,6
"2024/06/15
16:16:23",2,43,86
"2024/06/15
16:25:20",1,3,3
"2024/06/15
16:25:33",0,1,0
"2024/06/15
16:27:12",0,2,0
"2024/06/15
16:28:00",0,9,0
"2024/06/15
16:31:33",0,20,0
"2024/06/15
16:32:15",2,9,18
"2024/06/15
16:35:02",4,28,112
"2024/06/15
16:37:50",2,13,26
"2024/06/15
16:39:20",0,25,0
"2024/06/15
16:39:57",0,10,0
"2024/06/15
16:40:52",0,14,0
"2024/06/15
16:41:42",12,35,420
"2024/06/15
16:42:47",9,13,117
"2024/06/15
16:43:52",27,61,1647
"2024/06/15
16:45:04",3,6,18
"2024/06/15
16:45:42",3,9,27
"2024/06/15
16:48:04",0,5,0
"2024/06/15
16:49:03",3,11,33
"2024/06/15
16:49:26",0,5,0
"2024/06/15
16:49:48",2,5,10
"2024/06/15
16:50:06",2,7,14
"2024/06/15
16:51:05",1,2,2
"2024/06/15
16:51:27",1,4,4
"2024/06/15
16:52:08",1,4,4
"2024/06/15
16:52:36",2,6,12
"2024/06/15
16:52:56",0,2,0
"2024/06/15
16:53:49",1,5,5
"2024/06/15
16:56:01",0,2,0
"2024/06/15
16:56:51",17,27,459
"2024/06/15
16:57:51",0,3,0
"2024/06/15
16:59:02",83,56,4648
"2024/06/15
17:09:16",4,5,20
"2024/06/15
17:09:38",1,6,6
"2024/06/15
17:12:41",1,8,8
"2024/06/15
17:12:58",0,1,0
"2024/06/15
17:14:21",76,60,4560
"2024/06/15
17:16:48",1,3,3
"2024/06/15
17:17:49",8,13,104
"2024/06/15
17:19:47",2,3,6
"2024/06/15
17:20:15",3,6,18
"2024/06/15
17:20:42",2,4,8
"2024/06/15
17:21:22",1,3,3
"2024/06/15
17:21:59",18,19,342
"2024/06/15
17:24:43",43,78,3354
"2024/06/15
17:37:10",36,58,2088
"2024/06/15
17:37:44",24,29,696
"2024/06/15
17:41:48",0,3,0
"2024/06/15
17:43:52",6,7,42
"2024/06/15
17:44:28",1,12,12
"2024/06/15
17:45:25",0,3,0
"2024/06/15
17:45:51",1,3,3
"2024/06/15
17:46:05",0,3,0
"2024/06/15
17:47:15",22,34,748
"2024/06/15
17:49:03",8,24,192
"2024/06/15
17:49:25",1,3,3
"2024/06/15
17:49:47",6,12,72
"2024/06/15
17:50:08",0,2,0
"2024/06/15
17:51:04",40,47,1880
"2024/06/15
18:01:15",1,6,6
"2024/06/15
18:25:20",44,45,1980
"2024/06/15
18:31:53",2,4,8
"2024/06/15
18:37:01",7,13,91
"2024/06/15
18:38:04",5,20,100
"2024/06/15
18:39:20",0,10,0
"2024/06/15
18:40:58",0,5,0
"2024/06/15
18:41:18",0,15,0
"2024/06/15
18:42:20",0,40,0
"2024/06/15
18:49:42",3,14,42
"2024/06/15
18:50:23",0,7,0
"2024/06/15
18:51:44",0,7,0
"2024/06/15
18:52:00",0,3,0
"2024/06/15
18:52:40",0,6,0
"2024/06/15
18:53:24",4,25,100
"2024/06/15
18:54:22",0,8,0
"2024/06/15
18:54:39",0,1,0
"2024/06/15
18:57:02",3,9,27
"2024/06/15
18:57:09",3,3,9
"2024/06/15
18:57:17",0,0,0
"2024/06/15
18:59:26",0,3,0
"2024/06/15
19:03:37",0,4,0
"2024/06/15
19:03:58",0,9,0
"2024/06/15
19:16:27",0,5,0
"2024/06/15
19:16:49",0,3,0
"2024/06/15
19:17:20",0,0,0
"2024/06/15
19:17:30",0,5,0
"2024/06/15
19:17:41",0,6,0
"2024/06/15
19:27:14",7,27,189
"2024/06/15
19:28:27",14,32,448
"2024/06/15
19:29:24",5,12,60
"2024/06/15
19:29:43",0,7,0
"2024/06/15
20:13:21",1,8,8
"2024/06/15
20:14:27",43,47,2021
"2024/06/15
20:16:42",7,19,133
"2024/06/15
20:33:31",35,37,1295
"2024/06/15
20:42:10",8,10,80
"2024/06/15
20:46:27",2,13,26
"2024/06/15
20:52:06",0,0,0
"2024/06/15
20:53:24",24,46,1104
"2024/06/15
21:02:54",26,47,1222
"2024/06/15
21:04:25",259,63,16317
"2024/06/15
21:07:16",595,124,73780
"2024/06/15
21:12:08",0,5,0
"2024/06/15
21:15:42",65,59,3835
"2024/06/15
21:24:48",0,5,0
"2024/06/15
21:25:26",20,24,480
"2024/06/15
21:30:27",2,3,6
"2024/06/15
21:45:48",187,100,18700
"2024/06/15
21:53:42",567,144,81648
"2024/06/15
21:53:55",3,9,27
"2024/06/15
21:53:56",0,0,0
"2024/06/15
21:57:15",0,5,0
"2024/06/15
21:57:21",2,3,6
"2024/06/15
21:57:25",0,0,0
"2024/06/15
22:00:55",1,4,4
